"DGUID","GEO_NAME","CHARACTERISTIC_NAME","C1_COUNT_TOTAL"
"2021A00031001","Division No.  1, Census division (CDR)","Average age of the population","43.7"
"2021A00031002","Division No.  2, Census division (CDR)","Average age of the population","49.3"
"2021A00031003","Division No.  3, Census division (CDR)","Average age of the population","50.1"
"2021A00031004","Division No.  4, Census division (CDR)","Average age of the population","49.4"
"2021A00031005","Division No.  5, Census division (CDR)","Average age of the population","46.9"
"2021A00031006","Division No.  6, Census division (CDR)","Average age of the population","46.5"
"2021A00031007","Division No.  7, Census division (CDR)","Average age of the population","49.5"
"2021A00031008","Division No.  8, Census division (CDR)","Average age of the population","50.8"
"2021A00031009","Division No.  9, Census division (CDR)","Average age of the population","51.3"
"2021A00031010","Division No. 10, Census division (CDR)","Average age of the population","38.8"
"2021A00031011","Division No. 11, Census division (CDR)","Average age of the population","34.2"
"2021A00031101","Kings, County (CTY)","Average age of the population","44.8"
"2021A00031102","Queens, County (CTY)","Average age of the population","42"
"2021A00031103","Prince, County (CTY)","Average age of the population","44.5"
"2021A00031201","Shelburne, County (CTY)","Average age of the population","47.7"
"2021A00031202","Yarmouth, County (CTY)","Average age of the population","46.7"
"2021A00031203","Digby, County (CTY)","Average age of the population","49.7"
"2021A00031204","Queens, County (CTY)","Average age of the population","50.4"
"2021A00031205","Annapolis, County (CTY)","Average age of the population","48.8"
"2021A00031206","Lunenburg, County (CTY)","Average age of the population","49.2"
"2021A00031207","Kings, County (CTY)","Average age of the population","44.9"
"2021A00031208","Hants, County (CTY)","Average age of the population","43.8"
"2021A00031209","Halifax, County (CTY)","Average age of the population","41.3"
"2021A00031210","Colchester, County (CTY)","Average age of the population","45.3"
"2021A00031211","Cumberland, County (CTY)","Average age of the population","48.1"
"2021A00031212","Pictou, County (CTY)","Average age of the population","46.6"
"2021A00031213","Guysborough, County (CTY)","Average age of the population","51.9"
"2021A00031214","Antigonish, County (CTY)","Average age of the population","44.3"
"2021A00031215","Inverness, County (CTY)","Average age of the population","47.7"
"2021A00031216","Richmond, County (CTY)","Average age of the population","49.7"
"2021A00031217","Cape Breton, County (CTY)","Average age of the population","46.1"
"2021A00031218","Victoria, County (CTY)","Average age of the population","47.5"
"2021A00031301","Saint John, County (CT)","Average age of the population","43.4"
"2021A00031302","Charlotte, County (CT)","Average age of the population","46.1"
"2021A00031303","Sunbury, County (CT)","Average age of the population","39.2"
"2021A00031304","Queens, County (CT)","Average age of the population","50.6"
"2021A00031305","Kings, County (CT)","Average age of the population","43.2"
"2021A00031306","Albert, County (CT)","Average age of the population","44.2"
"2021A00031307","Westmorland, County (CT)","Average age of the population","43"
"2021A00031308","Kent, County (CT)","Average age of the population","47.7"
"2021A00031309","Northumberland, County (CT)","Average age of the population","47.2"
"2021A00031310","York, County (CT)","Average age of the population","42.2"
"2021A00031311","Carleton, County (CT)","Average age of the population","43.8"
"2021A00031312","Victoria, County (CT)","Average age of the population","46.6"
"2021A00031313","Madawaska, County (CT)","Average age of the population","48"
"2021A00031314","Restigouche, County (CT)","Average age of the population","48.6"
"2021A00031315","Gloucester, County (CT)","Average age of the population","49.3"
"2021A00032401","Communaut� maritime des �les-de-la-Madeleine, Territoire �quivalent (T�)","Average age of the population","49.1"
"2021A00032402","Le Rocher-Perc�, Municipalit� r�gionale de comt� (MRC)","Average age of the population","50.8"
"2021A00032403","La C�te-de-Gasp�, Municipalit� r�gionale de comt� (MRC)","Average age of the population","47.3"
"2021A00032404","La Haute-Gasp�sie, Municipalit� r�gionale de comt� (MRC)","Average age of the population","50.5"
"2021A00032405","Bonaventure, Municipalit� r�gionale de comt� (MRC)","Average age of the population","48.6"
"2021A00032406","Avignon, Municipalit� r�gionale de comt� (MRC)","Average age of the population","48.1"
"2021A00032407","La Matap�dia, Municipalit� r�gionale de comt� (MRC)","Average age of the population","47.3"
"2021A00032408","La Matanie, Municipalit� r�gionale de comt� (MRC)","Average age of the population","48.6"
